name,dataset,consideredLength,remaining_points,pop_size,offspring_size,loop,iterations,runs,mean_best_mse,description
experiment2020-03-19_10-31-54-137,MALLAT_,8192,206,200,200,true,144,100,0.0035583469143830415,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_11-27-20-843,subject103_5,10000,251,200,200,true,175,100,0.05359236172502414,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_12-47-43-982,subject103_6,10000,251,200,200,true,175,100,0.23291504412498287,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_14-09-26-893,Ham,10000,251,200,200,true,175,100,0.1760006273085487,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_15-30-36-759,Rock,10000,251,200,200,true,175,100,0.0061940395410314255,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_16-52-34-315,HandOutlines,10000,251,200,200,true,175,100,2.696170192720217e-5,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_18-14-17-334,HandOutlines,20000,501,200,200,true,350,100,2.0332239861031544e-5,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-19_23-39-45-174,Phoneme,10000,251,200,200,true,175,100,0.5865498050334194,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_01-05-16-593,Phoneme,20000,501,200,200,true,350,100,0.3684041168735143,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_06-41-35-329,StarLightCurves,10000,251,200,200,true,175,100,0.0001307003905322604,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_08-08-53-161,StarLightCurves,20000,501,200,200,true,350,100,0.0001628048042186505,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_17-08-35-278,Donoho-Johnstone,2048,52,200,200,false,36,100,5.495091987883879,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_17-10-20-757,MALLAT_,8192,206,200,200,false,144,100,0.005453479140580086,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_17-32-33-279,subject103_5,10000,251,200,200,false,175,100,0.06795677410738858,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_18-06-29-162,subject103_6,10000,251,200,200,false,175,100,0.27567253180489737,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_18-40-05-968,Ham,10000,251,200,200,false,175,100,0.22671673174927792,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_19-13-37-944,Rock,10000,251,200,200,false,175,100,0.00790898864052008,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_19-47-46-483,HandOutlines,10000,251,200,200,false,175,100,3.543744125784979e-5,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_20-22-36-263,HandOutlines,20000,501,200,200,false,350,100,2.5528920821241858e-5,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_22-37-51-766,Phoneme,10000,251,200,200,false,175,100,0.6467531965760307,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-20_23-14-42-609,Phoneme,20000,501,200,200,false,350,100,0.4279587814643518,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-21_01-38-21-186,StarLightCurves,10000,251,200,200,false,175,100,0.00021547102958961137,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment2020-03-21_02-17-46-646,StarLightCurves,20000,501,200,200,false,350,100,0.00025668569957330677,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
